Timestamp,Animal,Temperature,Outdoor_Temperature,Humidity,Wind_Speed,Horizontal_Inlet1_Damper_Position,Vertical_Inlet1_Position,Outlet1_1_Damper_Position,Stepless_Gear1,Stepless_Variable_Fan1,Vertical_Multi_Gear1,Vertical_Multi_Gear2,Vertical_Multi_Gear3,Vertical_Cooling_Demand_Percent
2024-01-01,450.0,17.031759943973213,-0.013332747883668896,62.45874966461024,0.0,42.05252619484234,0.0,,49.36207591249327,52.25337667716854,0.0,0.0,0.0,
2024-01-02,450.0,16.115506658886076,1.7375759513974685,65.06436725048101,0.0,38.16543343138481,0.0,,21.738280560881012,28.20382052022785,0.0,0.0,0.0,
2024-01-03,450.0,10.651066454801917,4.719903421795527,71.39380332549521,0.0,19.20200865823003,0.0,,28.027330298175716,33.46252958447285,0.0,0.0,0.0,
2024-01-04,450.0,11.06436508658859,6.206735604585586,78.88654855354353,0.0,37.97856046218619,0.0,,39.11892545208108,43.15756511885886,0.0,0.0,0.0,
2024-01-05,450.0,10.701663692102152,4.134925189478494,75.48393204784946,0.0,25.110317897231184,0.0,,44.40160096542742,47.4491521466129,0.0,0.0,0.0,
2024-01-06,450.0,8.89694058715,1.6295584329846156,85.46931827265384,0.0,9.097060985519231,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-07,450.0,8.145876443047431,0.9445586714466403,79.11007962873518,0.0,9.106716596454547,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-08,450.0,9.170847472106995,2.799912325925926,84.37390836547326,0.0,9.11767512227572,0.0,,22.400000690000002,29.46666777,0.0,0.0,0.0,
2024-01-09,450.0,9.331297304186991,1.4378728213739838,86.1093653952439,0.0,9.108258505317073,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-10,450.0,9.45523187036287,2.3440425775063294,71.73079650202533,0.0,9.080016613,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-11,450.0,10.603306294079209,7.90354981769307,64.19689005653466,0.0,29.028946663465344,0.0,,36.549998612722774,42.37455855450496,0.0,0.0,0.0,
2024-01-12,450.0,11.032213003971963,5.846460072753894,65.12860769950156,0.0,34.630115035682245,0.0,,33.24743087365109,38.71570792068536,0.0,0.0,0.0,
2024-01-13,450.0,10.695500707559557,3.364569646775623,68.4464323337673,0.0,19.924553038914127,0.4029211740443214,,37.814575385698056,42.53610988346261,0.0,0.0,0.0,
2024-01-14,450.0,10.411476896606425,3.5167434406586344,66.85655648192771,0.0,11.76473527763454,0.0,,28.121102369919676,32.21030602606426,0.0,0.0,0.0,
2024-01-15,450.0,8.621808594539681,-0.16007616784126982,58.889836091388894,0.0,9.367508441,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-16,450.0,7.41690040390566,1.8827443165283018,64.75068760509434,0.0,9.367508441,0.0,,22.400000689999995,29.46666777,0.0,0.0,0.0,
2024-01-17,450.0,7.250603078140704,2.5358543164974874,70.61852203180904,0.0,9.367508441,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-18,450.0,7.882190899266666,0.8515953059190475,69.0535416514762,0.0,9.367508441,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
2024-01-19,450.0,9.590316461412371,0.8217887217886597,63.31775908773196,0.0,9.367508441,0.0,,22.40000069,29.466667770000004,0.0,0.0,0.0,
2024-01-20,450.0,9.382508841896714,0.6275843523051643,58.98371151985915,0.0,9.367508441,0.0,,22.40000069,29.46666777,0.0,0.0,0.0,
