Timestamp,Animal,Temperature,Outdoor_Temperature,Humidity,Wind_Speed,Horizontal_Inlet1_Damper_Position,Vertical_Inlet1_Position,Stepless_Gear1,Stepless_Variable_Fan1,Vertical_Multi_Gear1,Vertical_Multi_Gear2,Vertical_Multi_Gear3,trend,daily,weekly
2024-01-01 00:00:00,450.0,16.929662115555555,-4.2423005355,59.82497872,0.0,37.240059968,0.0,0.0,0.0,0.0,0.0,0.0,77.96635922116796,-2.8198759565330893,0.45275600049010783
2024-01-01 00:30:00,450.0,16.765292176,-4.480632669,60.221495042,0.0,36.741735336,0.0,69.993760586,61.25,0.0,0.0,0.0,77.9486667914868,-2.3929353987293904,0.44966200062638984
2024-01-01 01:00:00,450.0,16.598691716666668,-4.343721140833334,60.50686243249999,0.0,34.774795176666665,0.0,96.996136505,96.98668717916668,0.0,0.0,0.0,77.93097436180562,-1.9463480359505523,0.4469107672793982
2024-01-01 01:30:00,450.0,16.61308015,-4.3086653348888895,60.72710164777777,0.0,32.51078327666667,0.0,88.87935148555556,88.87935148555556,0.0,0.0,0.0,77.91328193212446,-1.4988886713644487,0.44446983023022996
2024-01-01 02:00:00,450.0,16.432866733,-4.7339200047,59.408997441,0.0,30.761855242000003,0.0,78.557667735,78.995821477,0.0,0.0,0.0,77.8955895024433,-1.0653978399693,0.44230474940945935
2024-01-01 02:30:00,450.0,16.608970243999998,-4.892365703499999,59.798174346,0.0,28.461906616,0.0,70.561854838,70.892012118,0.0,0.0,0.0,77.87789707276212,-0.6571056631813547,0.4403792362184898
2024-01-01 03:00:00,450.0,16.881901108,-5.1441465908,59.774929932,0.0,28.29420269,0.0,67.23461628,67.445038558,0.0,0.0,0.0,77.86020464308096,-0.2814756557579894,0.4386552815491507
2024-01-01 03:30:00,450.0,16.728752433,-5.5765485990000006,58.67865183,0.0,26.907041375,0.0,64.63847398600001,64.63847398600001,0.0,0.0,0.0,77.8425122133998,0.05833637912253799,0.4370932900789834
2024-01-01 04:00:00,450.0,16.874693467777778,-4.959575386888889,58.53817515666666,0.0,24.10157174,0.0,60.705494218888894,60.705494218888894,0.0,0.0,0.0,77.82481978371862,0.3639763574820948,0.43565222051419594
2024-01-01 04:30:00,450.0,17.258649611000003,-4.7599790543,59.220914006,0.0,26.126015932,0.0,62.761890885,62.761890885,0.0,0.0,0.0,77.80712735403745,0.6417564095567133,0.43428973118747344
2024-01-01 05:00:00,450.0,17.231553588,-5.1879394149,59.43614259900001,0.0,27.798272373,0.0,67.612893582,67.330800892,0.0,0.0,0.0,77.78943492435629,0.9014076481500672,0.43296233069575263
2024-01-01 05:30:00,450.0,17.304816315,-5.135608127333334,60.530004605,0.0,28.725445270000005,0.0,71.693396565,71.788614985,0.0,0.0,0.0,77.77174249467512,1.153570776233791,0.4316255329499036
2024-01-01 06:00:00,450.0,17.123222323,-5.1441675481,59.887232248,0.0,28.72544527,0.0,73.149936797,72.952068449,0.0,0.0,0.0,77.75405006499395,1.4063393508475788,0.43023401630342273
2024-01-01 06:30:00,450.0,17.176666336666667,-5.538612625833333,60.42099447833333,0.0,28.725445270000005,0.0,73.99622798,73.99622798,0.0,0.0,0.0,77.73635763531279,1.6616200095785614,0.42874178605802526
